carbon_emissions_total,discomfort_proportion,ramping_average,daily_one_minus_load_factor_average,daily_peak_average,annual_peak_average,one_minus_thermal_resilience_proportion,power_outage_normalized_unserved_energy_total,average_score
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.559400280064975}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8768342574782938}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.9602562980194183}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.009094398898429}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4452058615101255}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.2012573716964188}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7968253968253968}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7247341484839475}","{'display_name': 'Score', 'weight': None, 'value': 1.1434103}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5441919426240451}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.895756800744013}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.673570180911366}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0223723009658172}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4703053808749909}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.2661673665611244}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8634920634920634}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7477881065889208}","{'display_name': 'Score', 'weight': None, 'value': 1.1472695}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.570955363357825}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8894149587011713}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.784479253767454}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.9822828152181157}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3967339994305816}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.052526691822172}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.9095238095238095}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6703102418157924}","{'display_name': 'Score', 'weight': None, 'value': 1.1270969}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.589270153862979}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8715028687244452}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.7954682705048164}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0183118974530005}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4948415684198388}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.4545203323583187}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8190476190476191}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6736405468564418}","{'display_name': 'Score', 'weight': None, 'value': 1.1515167}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5254205166530748}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8701089011481944}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.75535470124122}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0058570762836767}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.424940590339258}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.0785219816768026}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7952380952380952}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7639887591392888}","{'display_name': 'Score', 'weight': None, 'value': 1.1173093}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5313271076191188}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8803153600642557}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.734321112151071}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0268284051839751}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4661637573498265}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.4289521075523928}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7730158730158729}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7282807855505572}","{'display_name': 'Score', 'weight': None, 'value': 1.1416417}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.619561772979803}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8856197407697058}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.621376420522632}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0035887922221725}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4877223942914763}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.3452231137121589}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8650793650793651}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7054254529043963}","{'display_name': 'Score', 'weight': None, 'value': 1.1475611}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.6176342730727453}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8988211574005575}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.915242191600594}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0231880412878616}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.531447822098814}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.3189938415778104}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7968253968253968}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7621569794765911}","{'display_name': 'Score', 'weight': None, 'value': 1.1744225}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.56442623190021}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8844451255169693}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.9001884632544233}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0443764420364985}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.5263513035486402}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.3043270375093585}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8396825396825397}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.71920633323378}","{'display_name': 'Score', 'weight': None, 'value': 1.1637528}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5485823151579103}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8883367504385872}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.816705922654761}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0107529480374866}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4250785415721285}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.2863868981715845}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8174603174603176}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7277892147948061}","{'display_name': 'Score', 'weight': None, 'value': 1.1435661}"
